t,robot_id,x,y,state,held_item,path_length,local_density_3,local_density_5,stuck_duration,collision_vertex,collision_edge,is_stuck,is_deadlocked
1,0,2,1,AVAILABLE,0,0,3,5,0,0,0,0,0
1,1,3,1,AVAILABLE,0,0,4,6,0,0,0,0,0
1,2,4,1,AVAILABLE,0,0,5,7,0,0,0,0,0
1,3,5,1,AVAILABLE,0,0,6,8,0,0,0,0,0
1,4,6,1,AVAILABLE,0,0,6,9,0,0,0,0,0
1,5,7,1,AVAILABLE,0,0,6,10,0,0,0,0,0
1,6,8,1,AVAILABLE,0,0,6,10,0,0,0,0,0
1,7,9,1,AVAILABLE,0,0,6,10,0,0,0,0,0
1,8,10,1,AVAILABLE,0,0,6,10,0,0,0,0,0
1,9,11,1,AVAILABLE,0,0,6,10,0,0,0,0,0
1,10,12,1,AVAILABLE,0,0,6,10,0,0,0,0,0
1,11,13,1,AVAILABLE,0,0,6,10,0,0,0,0,0
1,12,14,1,AVAILABLE,0,0,6,10,0,0,0,0,0
1,13,15,1,AVAILABLE,0,0,6,10,0,0,0,0,0
1,14,16,1,AVAILABLE,0,0,6,10,0,0,0,0,0
1,15,17,1,AVAILABLE,0,0,6,10,0,0,0,0,0
1,16,18,1,AVAILABLE,0,0,6,10,0,0,0,0,0
1,17,19,1,AVAILABLE,0,0,6,9,0,0,0,0,0
1,18,20,1,AVAILABLE,0,0,6,8,0,0,0,0,0
1,19,21,1,AVAILABLE,0,0,5,7,0,0,0,0,0
1,20,22,1,AVAILABLE,0,0,4,6,0,0,0,0,0
1,21,23,1,AVAILABLE,0,0,3,5,0,0,0,0,0
1,22,2,22,AVAILABLE,0,0,3,5,0,0,0,0,0
1,23,3,22,AVAILABLE,0,0,4,6,0,0,0,0,0
1,24,4,22,AVAILABLE,0,0,5,7,0,0,0,0,0
1,25,5,22,AVAILABLE,0,0,6,8,0,0,0,0,0
1,26,6,22,AVAILABLE,0,0,6,9,0,0,0,0,0
1,27,7,22,AVAILABLE,0,0,6,10,0,0,0,0,0
1,28,8,22,AVAILABLE,0,0,6,10,0,0,0,0,0
1,29,9,22,AVAILABLE,0,0,6,10,0,0,0,0,0
1,30,10,22,AVAILABLE,0,0,6,10,0,0,0,0,0
1,31,11,22,AVAILABLE,0,0,6,10,0,0,0,0,0
1,32,12,22,AVAILABLE,0,0,6,10,0,0,0,0,0
1,33,13,22,AVAILABLE,0,0,6,10,0,0,0,0,0
1,34,14,22,AVAILABLE,0,0,6,10,0,0,0,0,0
1,35,15,22,AVAILABLE,0,0,6,10,0,0,0,0,0
1,36,16,22,AVAILABLE,0,0,6,10,0,0,0,0,0
1,37,17,22,AVAILABLE,0,0,6,10,0,0,0,0,0
1,38,18,22,AVAILABLE,0,0,6,10,0,0,0,0,0
1,39,19,22,AVAILABLE,0,0,6,9,0,0,0,0,0
1,40,20,22,AVAILABLE,0,0,6,8,0,0,0,0,0
1,41,21,22,AVAILABLE,0,0,5,7,0,0,0,0,0
1,42,22,22,AVAILABLE,0,0,4,6,0,0,0,0,0
1,43,23,22,AVAILABLE,0,0,3,5,0,0,0,0,0
2,0,2,1,AVAILABLE,0,0,3,5,0,0,0,0,0
2,1,3,1,AVAILABLE,0,0,4,6,0,0,0,0,0
2,2,4,1,AVAILABLE,0,0,5,7,0,0,0,0,0
2,3,5,1,AVAILABLE,0,0,6,8,0,0,0,0,0
2,4,6,1,AVAILABLE,0,0,6,9,0,0,0,0,0
2,5,7,1,AVAILABLE,0,0,6,10,0,0,0,0,0
2,6,8,1,AVAILABLE,0,0,6,10,0,0,0,0,0
2,7,9,1,AVAILABLE,0,0,6,10,0,0,0,0,0
2,8,10,1,AVAILABLE,0,0,6,10,0,0,0,0,0
2,9,11,1,AVAILABLE,0,0,6,10,0,0,0,0,0
2,10,12,1,AVAILABLE,0,0,6,10,0,0,0,0,0
2,11,13,1,AVAILABLE,0,0,6,10,0,0,0,0,0
2,12,14,1,AVAILABLE,0,0,6,10,0,0,0,0,0
2,13,15,1,AVAILABLE,0,0,6,10,0,0,0,0,0
2,14,16,1,AVAILABLE,0,0,6,10,0,0,0,0,0
2,15,17,1,AVAILABLE,0,0,6,10,0,0,0,0,0
2,16,18,1,AVAILABLE,0,0,6,10,0,0,0,0,0
2,17,19,1,AVAILABLE,0,0,6,9,0,0,0,0,0
2,18,20,1,AVAILABLE,0,0,6,8,0,0,0,0,0
